rank,bgg_url,game_id,name,min_players,max_players,avg_time,min_time,max_time,weight,year,age,avg_rating,geek_rating,num_votes,owned,designer
1065,https://boardgamegeek.com/boardgame/153065,153065,Linko!,2,5,20,20,20,1.3882,2014,10,6.99219,6.55373,4830,7791,"Michael Kiesling, Wolfgang Kramer"
1066,https://boardgamegeek.com/boardgame/223770,223770,Startups,3,7,20,20,20,1.5789,2017,10,7.17761,6.55382,3344,6078,Jun Sasaki
1067,https://boardgamegeek.com/boardgame/681,681,Quarto,2,2,20,20,20,1.911,1991,8,6.88404,6.55351,7317,11889,Blaise Muller
1068,https://boardgamegeek.com/boardgame/314503,314503,Codex Naturalis,1,4,30,20,30,1.7895,2021,7,7.2449,6.55337,3267,6480,Thomas Dupont
1069,https://boardgamegeek.com/boardgame/176371,176371,Explorers of the North Sea,1,4,60,45,60,2.12,2016,12,7.2926,6.55185,2897,5991,Shem Phillips
1070,https://boardgamegeek.com/boardgame/171233,171233,The Big Book of Madness,2,5,90,60,90,2.6875,2015,12,6.907,6.55147,6612,11468,Maxime Rambourg
1071,https://boardgamegeek.com/boardgame/6830,6830,Zendo,3,5,60,60,60,2.5213,2001,8,7.22015,6.55034,3116,3390,"Kory Heath, Andrew Looney"
1072,https://boardgamegeek.com/boardgame/338957,338957,Caesar!: Seize Rome in 20 Minutes!,1,2,20,20,20,1.9298,2022,14,7.6779,6.55097,1815,3601,Paolo Mori
1073,https://boardgamegeek.com/boardgame/136991,136991,Loony Quest,2,5,30,20,30,1.1964,2015,8,6.89143,6.55032,6322,9902,"Laurent Escoffier, David Franck"
1074,https://boardgamegeek.com/boardgame/1822,1822,Wilderness War,2,2,180,180,180,3.2978,2001,12,7.71832,6.55011,1844,4238,Volko Ruhnke
1075,https://boardgamegeek.com/boardgame/160018,160018,Smash Up: Monster Smash,2,2,45,30,45,2.234,2014,12,7.26155,6.54961,3183,10353,Paul Peterson
1076,https://boardgamegeek.com/boardgame/245476,245476,CuBirds,2,5,20,20,20,1.3046,2018,8,6.93577,6.54817,6022,8150,Stefan Alexander
1077,https://boardgamegeek.com/boardgame/146312,146312,Ghost Fightin' Treasure Hunters,2,4,30,30,30,1.6281,2013,8,7.14393,6.54779,3745,7983,Brian Yu
1078,https://boardgamegeek.com/boardgame/198454,198454,When I Dream,4,10,40,20,40,1.2051,2016,8,6.97941,6.54794,5272,9536,Chris Darsaklis
1079,https://boardgamegeek.com/boardgame/134352,134352,Two Rooms and a Boom,6,30,20,7,20,1.437,2013,8,6.98585,6.54714,5124,8297,"Alan Gerding, Sean McCoy"
1080,https://boardgamegeek.com/boardgame/21523,21523,Runebound: Second Edition,2,6,240,120,240,2.6788,2005,12,6.88726,6.54631,8022,10561,"Darrell Hardy, Martin Wallace"
1081,https://boardgamegeek.com/boardgame/22825,22825,Tide of Iron,2,4,120,120,120,3.4563,2007,12,7.19946,6.54606,3835,6205,"John Goodenough, Corey Konieczka, Christian T. Petersen"
1082,https://boardgamegeek.com/boardgame/223750,223750,Hardback,1,5,90,45,90,2.125,2018,10,7.18594,6.54465,3254,6231,"Jeff Beck (II), Tim Fowers"
1083,https://boardgamegeek.com/boardgame/60,60,Vinci,3,6,120,120,120,2.7823,1999,14,7.07306,6.54471,4040,3836,Philippe Keyaerts
1084,https://boardgamegeek.com/boardgame/85897,85897,Thunderstone: Dragonspire,1,5,45,45,45,2.6942,2011,12,7.32241,6.54437,2713,4417,"Mike Elliott, Brent Keith"
1085,https://boardgamegeek.com/boardgame/194880,194880,Dream Home,2,4,30,30,30,1.6625,2016,7,6.87966,6.54411,6897,10624,Klemens Kalicki
1086,https://boardgamegeek.com/boardgame/35052,35052,Axis & Allies Anniversary Edition,2,6,360,360,360,3.1048,2008,12,7.42955,6.54319,2938,4689,"Larry Harris, Jr."
1087,https://boardgamegeek.com/boardgame/122522,122522,Smash Up,2,4,45,45,45,2.0644,2012,12,6.71087,6.5432,26438,43906,Paul Peterson
