rank,bgg_url,game_id,name,min_players,max_players,avg_time,min_time,max_time,weight,year,age,avg_rating,geek_rating,num_votes,owned,designer
1,https://boardgamegeek.com/boardgame/224517,224517,Brass: Birmingham,2,4,120,60,120,3.8951,2018,14,8.61254,8.42343,38725,53631,"Gavan Brown, Matt Tolman, Martin Wallace"
2,https://boardgamegeek.com/boardgame/161936,161936,Pandemic Legacy: Season 1,2,4,60,60,60,2.8319,2015,13,8.53513,8.38948,50665,78310,"Rob Daviau, Matt Leacock"
3,https://boardgamegeek.com/boardgame/174430,174430,Gloomhaven,1,4,120,60,120,3.8964,2017,14,8.6219,8.38731,58467,91428,Isaac Childres
4,https://boardgamegeek.com/boardgame/342942,342942,Ark Nova,1,4,150,90,150,3.7253,2021,14,8.53311,8.30241,31192,46422,Mathias Wigge
5,https://boardgamegeek.com/boardgame/233078,233078,Twilight Imperium: Fourth Edition,3,6,480,240,480,4.3077,2017,14,8.61959,8.24265,20943,25806,"Dane Beltrami, Corey Konieczka, Christian T. Petersen"
6,https://boardgamegeek.com/boardgame/167791,167791,Terraforming Mars,1,5,120,120,120,3.2561,2016,12,8.37772,8.23206,90206,124644,Jacob Fryxelius
7,https://boardgamegeek.com/boardgame/291457,291457,Gloomhaven: Jaws of the Lion,1,4,120,30,120,3.6337,2020,14,8.50017,8.20602,28989,64266,Isaac Childres
8,https://boardgamegeek.com/boardgame/316554,316554,Dune: Imperium,1,4,120,60,120,3.0227,2020,14,8.40161,8.17531,34784,49124,Paul Dennen
9,https://boardgamegeek.com/boardgame/115746,115746,War of the Ring: Second Edition,2,4,180,150,180,4.2081,2011,13,8.52989,8.1726,19175,31545,"Roberto Di Meglio, Marco Maggi, Francesco Nepitello"
10,https://boardgamegeek.com/boardgame/187645,187645,Star Wars: Rebellion,2,4,240,180,240,3.7368,2016,14,8.4175,8.16845,30007,46580,Corey Konieczka
11,https://boardgamegeek.com/boardgame/162886,162886,Spirit Island,1,4,120,90,120,4.0631,2017,13,8.35445,8.15187,44426,66019,R. Eric Reuss
12,https://boardgamegeek.com/boardgame/220308,220308,Gaia Project,1,4,150,60,150,4.3914,2017,12,8.40992,8.14326,24611,30482,"Jens Drögemüller, Helge Ostertag"
13,https://boardgamegeek.com/boardgame/182028,182028,Through the Ages: A New Story of Civilization,2,4,120,120,120,4.4322,2015,14,8.31535,8.08878,29671,34261,Vlaada Chvátil
14,https://boardgamegeek.com/boardgame/12333,12333,Twilight Struggle,2,2,180,120,180,3.6018,2005,13,8.25386,8.08118,46705,65047,"Ananda Gupta, Jason Matthews"
15,https://boardgamegeek.com/boardgame/193738,193738,Great Western Trail,2,4,150,75,150,3.704,2016,12,8.231,8.0664,38521,43629,Alexander Pfister
16,https://boardgamegeek.com/boardgame/169786,169786,Scythe,1,5,115,90,115,3.4382,2016,14,8.16979,8.01859,76863,104153,Jamey Stegmaier
17,https://boardgamegeek.com/boardgame/84876,84876,The Castles of Burgundy,2,4,90,30,90,2.9914,2011,12,8.12913,8.00571,57944,73985,Stefan Feld
18,https://boardgamegeek.com/boardgame/173346,173346,7 Wonders Duel,2,2,30,30,30,2.2258,2015,10,8.09919,7.97596,85269,138980,"Antoine Bauza, Bruno Cathala"
19,https://boardgamegeek.com/boardgame/167355,167355,Nemesis,1,5,180,90,180,3.4313,2018,12,8.30109,7.97033,26459,36813,Adam Kwapiński
20,https://boardgamegeek.com/boardgame/28720,28720,Brass: Lancashire,2,4,120,60,120,3.8583,2007,14,8.18902,7.96576,23551,30627,Martin Wallace
21,https://boardgamegeek.com/boardgame/246900,246900,Eclipse: Second Dawn for the Galaxy,2,6,200,60,200,3.6392,2020,14,8.50026,7.95532,10780,15165,Touko Tahkokallio
22,https://boardgamegeek.com/boardgame/124361,124361,Concordia,2,5,100,100,100,2.9973,2013,13,8.10314,7.95444,37462,43023,Mac Gerdts
23,https://boardgamegeek.com/boardgame/177736,177736,A Feast for Odin,1,4,120,30,120,3.8559,2016,12,8.1761,7.94498,25540,32537,Uwe Rosenberg
24,https://boardgamegeek.com/boardgame/266507,266507,Clank!: Legacy – Acquisitions Incorporated,2,4,120,90,120,2.7317,2019,13,8.57609,7.94229,8092,14820,"Andy Clautice, Paul Dennen"
25,https://boardgamegeek.com/boardgame/266192,266192,Wingspan,1,5,70,40,70,2.4531,2019,10,8.07321,7.92675,79937,122822,Elizabeth Hargrave
26,https://boardgamegeek.com/boardgame/120677,120677,Terra Mystica,2,5,150,60,150,3.9737,2012,12,8.08297,7.92128,45889,49917,"Jens Drögemüller, Helge Ostertag"
27,https://boardgamegeek.com/boardgame/205637,205637,Arkham Horror: The Card Game,1,2,120,60,120,3.5257,2016,14,8.1412,7.9111,39899,70378,"Nate French, Maxine Juniper Newman, Matthew J. Newman"
28,https://boardgamegeek.com/boardgame/237182,237182,Root,2,4,90,60,90,3.768,2018,10,8.08348,7.89074,43920,67214,Cole Wehrle
29,https://boardgamegeek.com/boardgame/312484,312484,Lost Ruins of Arnak,1,4,120,30,120,2.9022,2020,12,8.08175,7.88995,35499,53001,"Elwen, Mín"
30,https://boardgamegeek.com/boardgame/164928,164928,Orléans,2,4,90,90,90,3.0254,2014,12,8.06193,7.87626,29043,35864,Reiner Stockhausen
31,https://boardgamegeek.com/boardgame/199792,199792,Everdell,1,4,80,40,80,2.8052,2018,13,8.05553,7.87055,45652,68489,James A. Wilson
32,https://boardgamegeek.com/boardgame/96848,96848,Mage Knight Board Game,1,4,240,60,240,4.3515,2011,14,8.08922,7.86172,32054,44090,Vlaada Chvátil
33,https://boardgamegeek.com/boardgame/183394,183394,Viticulture Essential Edition,1,6,90,45,90,2.8892,2015,13,8.01037,7.86117,44285,61541,"Jamey Stegmaier, Alan Stone"
34,https://boardgamegeek.com/boardgame/341169,341169,Great Western Trail (Second Edition),1,4,150,75,150,3.7276,2021,12,8.42516,7.84661,8454,13840,Alexander Pfister
35,https://boardgamegeek.com/boardgame/251247,251247,Barrage,1,4,120,60,120,4.0932,2019,14,8.18353,7.8461,14869,18575,"Tommaso Battista, Simone Luciani"
36,https://boardgamegeek.com/boardgame/324856,324856,The Crew: Mission Deep Sea,2,5,20,20,20,2.0423,2021,10,8.22389,7.83336,12330,25703,Thomas Sing
37,https://boardgamegeek.com/boardgame/175914,175914,Food Chain Magnate,2,5,240,120,240,4.2059,2015,14,8.08458,7.81942,18633,22965,"Jeroen Doumen, Joris Wiersinga"
38,https://boardgamegeek.com/boardgame/192135,192135,Too Many Bones,1,4,120,60,120,3.8538,2017,12,8.35316,7.81781,10833,15904,"Josh J. Carlson, Adam Carlson"
39,https://boardgamegeek.com/boardgame/285774,285774,Marvel Champions: The Card Game,1,4,90,45,90,2.9167,2019,14,8.14458,7.80571,20728,35148,"Michael Boggs, Nate French, Caleb Grace"
40,https://boardgamegeek.com/boardgame/256960,256960,Pax Pamir: Second Edition,1,5,120,45,120,3.8366,2019,13,8.25383,7.80155,11345,17680,Cole Wehrle
41,https://boardgamegeek.com/boardgame/3076,3076,Puerto Rico,3,5,150,90,150,3.2723,2002,12,7.9313,7.79559,69126,79585,Andreas Seyfarth
42,https://boardgamegeek.com/boardgame/247763,247763,Underwater Cities,1,4,150,80,150,3.6089,2018,12,8.07776,7.78878,17224,22721,Vladimír Suchý
43,https://boardgamegeek.com/boardgame/102794,102794,Caverna: The Cave Farmers,1,7,210,30,210,3.7796,2013,12,7.96481,7.78523,33115,42223,Uwe Rosenberg
44,https://boardgamegeek.com/boardgame/170216,170216,Blood Rage,2,4,90,60,90,2.8752,2015,14,7.94965,7.77883,43929,52195,Eric M. Lang
45,https://boardgamegeek.com/boardgame/185343,185343,Anachrony,1,4,120,30,120,4.0175,2017,15,8.09711,7.77112,16750,21411,"Dávid Turczi, Richard Amann, Viktor Peter"
46,https://boardgamegeek.com/boardgame/31260,31260,Agricola,1,5,150,30,150,3.637,2007,12,7.89157,7.7683,70443,83007,Uwe Rosenberg
47,https://boardgamegeek.com/boardgame/295947,295947,Cascadia,1,4,45,30,45,1.8276,2021,10,7.97514,7.7575,26425,43156,Randy Flynn
48,https://boardgamegeek.com/boardgame/184267,184267,On Mars,1,4,150,90,150,4.67,2020,14,8.21842,7.75633,11040,18108,Vital Lacerda
49,https://boardgamegeek.com/boardgame/314040,314040,Pandemic Legacy: Season 0,2,4,60,45,60,3.1406,2020,14,8.46175,7.74117,6352,14456,"Rob Daviau, Matt Leacock"
50,https://boardgamegeek.com/boardgame/221107,221107,Pandemic Legacy: Season 2,2,4,60,60,60,3.2483,2017,14,8.05307,7.73976,15838,30400,"Rob Daviau, Matt Leacock"
51,https://boardgamegeek.com/boardgame/205059,205059,Mansions of Madness: Second Edition,1,5,180,120,180,2.6706,2016,14,7.97052,7.73558,33702,53177,Nikki Valens
52,https://boardgamegeek.com/boardgame/521,521,Crokinole,2,4,30,30,30,1.2369,1876,8,8.0035,7.73224,16232,14928,(Uncredited)
53,https://boardgamegeek.com/boardgame/276025,276025,Maracaibo,1,4,120,30,120,3.907,2019,12,8.07158,7.73204,14380,20512,Alexander Pfister
54,https://boardgamegeek.com/boardgame/126163,126163,Tzolk'in: The Mayan Calendar,2,4,90,90,90,3.6725,2012,13,7.87233,7.72003,37272,43644,"Simone Luciani, Daniele Tascini"
55,https://boardgamegeek.com/boardgame/255984,255984,Sleeping Gods,1,4,1200,60,1200,3.2332,2021,13,8.31674,7.7201,8481,21297,Ryan Laukat
56,https://boardgamegeek.com/boardgame/284378,284378,Kanban EV,1,4,180,60,180,4.3205,2020,14,8.4651,7.71858,6104,11169,Vital Lacerda
57,https://boardgamegeek.com/boardgame/2651,2651,Power Grid,2,6,120,120,120,3.2576,2004,12,7.82258,7.7144,63039,76555,Friedemann Friese
58,https://boardgamegeek.com/boardgame/161533,161533,Lisboa,1,4,120,60,120,4.5946,2017,12,8.19207,7.71051,9946,15235,Vital Lacerda
59,https://boardgamegeek.com/boardgame/284083,284083,The Crew: The Quest for Planet Nine,2,5,20,20,20,1.9686,2019,10,7.84975,7.69903,36677,70616,Thomas Sing
60,https://boardgamegeek.com/boardgame/216132,216132,Clans of Caledonia,1,4,120,30,120,3.4604,2017,12,7.95235,7.69712,19218,21087,Juma Al-JouJou
61,https://boardgamegeek.com/boardgame/244521,244521,The Quacks of Quedlinburg,2,4,45,45,45,1.9511,2018,10,7.8393,7.6943,42570,65066,Wolfgang Warsch
62,https://boardgamegeek.com/boardgame/35677,35677,Le Havre,1,5,150,30,150,3.73,2008,12,7.85225,7.68904,30307,34754,Uwe Rosenberg
63,https://boardgamegeek.com/boardgame/164153,164153,Star Wars: Imperial Assault,1,5,120,60,120,3.303,2014,14,7.97163,7.68607,23763,40630,"Justin Kemppainen, Corey Konieczka, Jonathan Ying"
64,https://boardgamegeek.com/boardgame/266810,266810,Paladins of the West Kingdom,1,4,120,90,120,3.7086,2019,12,7.99732,7.68511,15710,25939,"S J Macdonald, Shem Phillips"
65,https://boardgamegeek.com/boardgame/125153,125153,The Gallerist,1,4,150,60,150,4.2576,2015,13,8.03246,7.68149,13375,18216,Vital Lacerda
66,https://boardgamegeek.com/boardgame/209010,209010,Mechs vs. Minions,2,4,120,60,120,2.4332,2016,14,7.98516,7.68163,16797,23463,"Chris Cantrell, Rick Ernst, Stone Librande, Prashant Saraswat, Nathan Tiras"
67,https://boardgamegeek.com/boardgame/55690,55690,Kingdom Death: Monster,1,4,180,60,180,4.2624,2015,17,8.51207,7.66496,9183,12189,Adam Poots
68,https://boardgamegeek.com/boardgame/182874,182874,Grand Austria Hotel,2,4,120,60,120,3.2205,2015,12,7.9196,7.65917,18602,23168,"Virginio Gigli, Simone Luciani"
69,https://boardgamegeek.com/boardgame/124742,124742,Android: Netrunner,2,2,45,45,45,3.3995,2012,14,7.87651,7.65878,29335,44761,"Richard Garfield, Lukas Litzsinger"
70,https://boardgamegeek.com/boardgame/230802,230802,Azul,2,4,45,30,45,1.7616,2017,8,7.76151,7.65027,79906,124359,Michael Kiesling
71,https://boardgamegeek.com/boardgame/72125,72125,Eclipse,2,6,180,60,180,3.704,2011,14,7.84357,7.63747,27917,27634,Touko Tahkokallio
72,https://boardgamegeek.com/boardgame/28143,28143,Race for the Galaxy,2,4,60,30,60,2.9902,2007,12,7.74907,7.63713,53249,65767,Thomas Lehmann
73,https://boardgamegeek.com/boardgame/253344,253344,Cthulhu: Death May Die,1,5,120,90,120,2.4351,2019,14,8.17008,7.63654,9835,17313,"Rob Daviau, Eric M. Lang"
74,https://boardgamegeek.com/boardgame/191189,191189,Aeon's End,1,4,60,60,60,2.7946,2016,14,7.93151,7.63388,18368,26573,"Jenny Iglesias, Nick Little (I), Kevin Riley"
75,https://boardgamegeek.com/boardgame/201808,201808,Clank!: A Deck-Building Adventure,2,4,60,30,60,2.2241,2016,12,7.79268,7.63203,38939,51165,Paul Dennen
76,https://boardgamegeek.com/boardgame/200680,200680,Agricola (Revised Edition),1,4,120,30,120,3.4712,2016,12,7.96381,7.63068,15682,21541,Uwe Rosenberg
77,https://boardgamegeek.com/boardgame/157354,157354,Five Tribes,2,4,80,40,80,2.8506,2014,13,7.7781,7.63076,39394,51613,Bruno Cathala
78,https://boardgamegeek.com/boardgame/25613,25613,Through the Ages: A Story of Civilization,2,4,120,120,120,4.1759,2006,12,7.8622,7.61991,19026,17979,Vlaada Chvátil
79,https://boardgamegeek.com/boardgame/366013,366013,Heat: Pedal to the Metal,1,6,60,30,60,2.1697,2022,10,8.16612,7.61835,8539,12699,"Asger Harding Granerud, Daniel Skjold Pedersen"
80,https://boardgamegeek.com/boardgame/159675,159675,Fields of Arle,1,2,120,60,120,3.8651,2014,13,8.04011,7.61693,10293,15322,Uwe Rosenberg
81,https://boardgamegeek.com/boardgame/229853,229853,Teotihuacan: City of Gods,1,4,120,90,120,3.7761,2018,14,7.88259,7.61661,18450,24758,Daniele Tascini
82,https://boardgamegeek.com/boardgame/110327,110327,Lords of Waterdeep,2,5,120,60,120,2.4526,2012,12,7.73753,7.60086,53182,66093,"Peter Lee, Rodney Thompson"
83,https://boardgamegeek.com/boardgame/121921,121921,Robinson Crusoe: Adventures on the Cursed Island,1,4,120,60,120,3.8078,2012,14,7.7694,7.59945,41327,65228,"Joanna Kijanka, Ignacy Trzewiczek"
84,https://boardgamegeek.com/boardgame/171623,171623,The Voyages of Marco Polo,2,4,100,40,100,3.1879,2015,12,7.79772,7.59683,23918,25900,"Simone Luciani, Daniele Tascini"
85,https://boardgamegeek.com/boardgame/295770,295770,Frosthaven,1,4,120,30,120,4.3,2022,14,8.85171,7.5963,4437,11612,Isaac Childres
86,https://boardgamegeek.com/boardgame/62219,62219,Dominant Species,2,6,240,120,240,4.0379,2010,14,7.82332,7.59391,20339,22314,Chad Jensen
87,https://boardgamegeek.com/boardgame/68448,68448,7 Wonders,2,7,30,30,30,2.321,2010,10,7.69798,7.59214,99348,134051,Antoine Bauza
88,https://boardgamegeek.com/boardgame/317985,317985,Beyond the Sun,2,4,120,60,120,3.1201,2020,14,7.96087,7.5905,11650,14109,Dennis K. Chan
89,https://boardgamegeek.com/boardgame/231733,231733,Obsession,1,4,90,30,90,3.1126,2018,14,8.17214,7.58368,7866,11254,Dan Hallagan
90,https://boardgamegeek.com/boardgame/180263,180263,The 7th Continent,1,4,1000,5,1000,2.8995,2017,14,7.87949,7.57495,21325,36548,"Ludovic Roudy, Bruno Sautter"
91,https://boardgamegeek.com/boardgame/264220,264220,Tainted Grail: The Fall of Avalon,1,4,120,60,120,3.3303,2019,14,8.14245,7.57521,11086,22003,"Krzysztof Piskorski, Marcin Świerkot"
92,https://boardgamegeek.com/boardgame/236457,236457,Architects of the West Kingdom,1,5,80,60,80,2.7494,2018,12,7.75907,7.56101,26300,36206,"S J Macdonald, Shem Phillips"
93,https://boardgamegeek.com/boardgame/93,93,El Grande,2,5,120,60,120,3.0399,1995,12,7.73275,7.55569,26645,25053,"Wolfgang Kramer, Richard Ulrich"
94,https://boardgamegeek.com/boardgame/279537,279537,The Search for Planet X,1,4,75,60,75,2.3744,2020,13,8.01049,7.55386,9308,17104,"Matthew O'Malley, Ben Rosset"
95,https://boardgamegeek.com/boardgame/37111,37111,Battlestar Galactica: The Board Game,3,6,180,120,180,3.2494,2008,14,7.72992,7.54666,35680,38366,Corey Konieczka
96,https://boardgamegeek.com/boardgame/122515,122515,Keyflower,2,6,120,90,120,3.3428,2012,12,7.73857,7.54192,22081,25309,"Sebastian Bleasdale, Richard Breese"
97,https://boardgamegeek.com/boardgame/18602,18602,Caylus,2,5,150,60,150,3.7991,2005,12,7.72623,7.53701,28655,28360,William Attia
98,https://boardgamegeek.com/boardgame/225694,225694,Decrypto,3,8,45,15,45,1.8071,2018,12,7.77958,7.53629,19379,30987,Thomas Dagenais-Lespérance
99,https://boardgamegeek.com/boardgame/170042,170042,Raiders of the North Sea,2,4,80,60,80,2.5511,2015,12,7.74885,7.53251,22208,28613,Shem Phillips
100,https://boardgamegeek.com/boardgame/172386,172386,Mombasa,2,4,150,75,150,3.9002,2015,12,7.85941,7.53138,12845,14479,Alexander Pfister
101,https://boardgamegeek.com/boardgame/155821,155821,Inis,2,4,90,60,90,2.887,2016,14,7.82497,7.53105,18080,23754,Christian Martinez
102,https://boardgamegeek.com/boardgame/40834,40834,Dominion: Intrigue,2,6,30,30,30,2.4164,2009,13,7.69303,7.52821,32997,47819,Donald X. Vaccarino
103,https://boardgamegeek.com/boardgame/42,42,Tigris & Euphrates,2,4,90,90,90,3.5022,1997,12,7.7029,7.52381,27887,30653,Reiner Knizia
104,https://boardgamegeek.com/boardgame/73439,73439,Troyes,1,4,90,90,90,3.4607,2010,12,7.7224,7.52405,22396,25563,"Sébastien Dujardin, Xavier Georges, Alain Orban"
105,https://boardgamegeek.com/boardgame/203993,203993,Lorenzo il Magnifico,2,4,120,60,120,3.3002,2016,12,7.85666,7.52367,12898,15786,"Flaminia Brasini, Virginio Gigli, Simone Luciani"
106,https://boardgamegeek.com/boardgame/146021,146021,Eldritch Horror,1,8,240,120,240,3.3179,2013,14,7.75922,7.52292,34807,51940,"Corey Konieczka, Nikki Valens"
107,https://boardgamegeek.com/boardgame/269385,269385,The Lord of the Rings: Journeys in Middle-Earth,1,5,120,60,120,2.6391,2019,14,7.93835,7.52154,14853,26074,"Nathan I. Hajek, Grace Holdinghaus"
108,https://boardgamegeek.com/boardgame/163068,163068,Trickerion: Legends of Illusion,2,4,180,60,180,4.2489,2015,14,7.96096,7.51875,9719,14361,"Richard Amann, Viktor Peter"
109,https://boardgamegeek.com/boardgame/12493,12493,Twilight Imperium: Third Edition,3,6,240,180,240,4.2561,2005,14,7.80192,7.51637,19129,20661,Christian T. Petersen
110,https://boardgamegeek.com/boardgame/144733,144733,Russian Railroads,2,4,120,120,120,3.4053,2013,13,7.741,7.50163,17323,15916,"Helmut Ohley, Leonhard ""Lonny"" Orgler"
111,https://boardgamegeek.com/boardgame/163412,163412,Patchwork,2,2,30,15,30,1.6068,2014,8,7.60666,7.50122,60899,94209,Uwe Rosenberg
112,https://boardgamegeek.com/boardgame/102680,102680,Trajan,2,4,120,60,120,3.6501,2011,12,7.752,7.49717,17009,19904,Stefan Feld
113,https://boardgamegeek.com/boardgame/205896,205896,Rising Sun,3,5,120,90,120,3.2913,2018,14,7.78768,7.49264,20015,25511,Eric M. Lang
114,https://boardgamegeek.com/boardgame/218417,218417,Aeon's End: War Eternal,1,4,60,60,60,2.9091,2017,14,8.2967,7.48487,5211,11699,"Jenny Iglesias, Nick Little (I), Kevin Riley"
115,https://boardgamegeek.com/boardgame/36218,36218,Dominion,2,4,30,30,30,2.3508,2008,13,7.59942,7.48424,87492,115675,Donald X. Vaccarino
116,https://boardgamegeek.com/boardgame/281259,281259,The Isle of Cats,1,4,90,60,90,2.3541,2019,8,7.75488,7.48231,18628,32350,Frank West
117,https://boardgamegeek.com/boardgame/256916,256916,Concordia Venus,2,6,120,60,120,3.0205,2018,12,8.28907,7.48216,4782,8608,Mac Gerdts
118,https://boardgamegeek.com/boardgame/233371,233371,Clank! In! Space!: A Deck-Building Adventure,2,4,90,45,90,2.5584,2017,12,7.80435,7.47593,13227,19422,Paul Dennen
119,https://boardgamegeek.com/boardgame/175640,175640,Vinhos: Deluxe Edition,1,4,135,60,135,4.0149,2016,14,8.11764,7.47191,6208,11088,Vital Lacerda
120,https://boardgamegeek.com/boardgame/178900,178900,Codenames,2,8,15,15,15,1.2679,2015,14,7.55933,7.46757,85262,140243,Vlaada Chvátil
121,https://boardgamegeek.com/boardgame/198928,198928,Pandemic: Iberia,2,5,45,45,45,2.5763,2016,8,7.89564,7.46542,10044,18045,"Jesús Torres Castro, Matt Leacock"
122,https://boardgamegeek.com/boardgame/172287,172287,Champions of Midgard,2,4,90,60,90,2.6015,2015,10,7.73727,7.46492,16595,23296,Ole Steiness
123,https://boardgamegeek.com/boardgame/4098,4098,Age of Steam,1,6,120,120,120,3.888,2002,13,7.82811,7.46162,10523,11758,"John Bohrer, Martin Wallace"
124,https://boardgamegeek.com/boardgame/132531,132531,Roll for the Galaxy,2,5,45,45,45,2.7759,2014,13,7.60903,7.46033,30628,37279,"Wei-Hwa Huang, Thomas Lehmann"
125,https://boardgamegeek.com/boardgame/175155,175155,Forbidden Stars,2,4,180,120,180,3.8414,2015,14,7.97281,7.45997,8825,13082,"Samuel Bailey, James Kniffen, Corey Konieczka"
126,https://boardgamegeek.com/boardgame/196340,196340,Yokohama,2,4,90,90,90,3.3161,2016,14,7.81624,7.45998,11081,13933,Hisashi Hayashi
127,https://boardgamegeek.com/boardgame/43015,43015,Hansa Teutonica,2,5,90,45,90,3.0994,2009,12,7.72132,7.45694,14542,12824,Andreas Steding
128,https://boardgamegeek.com/boardgame/266524,266524,PARKS,1,5,60,30,60,2.1461,2019,10,7.6977,7.45413,21207,37717,Henry Audubon
129,https://boardgamegeek.com/boardgame/263918,263918,Cartographers,1,100,45,30,45,1.8866,2019,10,7.63989,7.45235,25332,43922,Jordy Adan
130,https://boardgamegeek.com/boardgame/217372,217372,The Quest for El Dorado,2,4,60,30,60,1.9308,2017,10,7.65653,7.45015,21455,33785,Reiner Knizia
131,https://boardgamegeek.com/boardgame/310873,310873,Carnegie,1,4,120,90,120,3.813,2022,12,8.05623,7.44947,6653,9420,Xavier Georges
132,https://boardgamegeek.com/boardgame/30549,30549,Pandemic,2,4,45,45,45,2.4022,2008,8,7.55046,7.44526,119448,189817,Matt Leacock
133,https://boardgamegeek.com/boardgame/262712,262712,Res Arcana,2,4,60,30,60,2.629,2019,12,7.67597,7.43882,19506,26370,Thomas Lehmann
134,https://boardgamegeek.com/boardgame/274364,274364,Watergate,2,2,60,30,60,2.2548,2019,12,7.81295,7.43449,10366,18444,Matthias Cramer
135,https://boardgamegeek.com/boardgame/118048,118048,Targi,2,2,60,60,60,2.3419,2012,12,7.62302,7.43238,21474,34220,Andreas Steiger
136,https://boardgamegeek.com/boardgame/271055,271055,Dwellings of Eldervale,1,5,150,60,150,3.2651,2020,14,8.20595,7.43222,5422,7328,Luke Laurie
137,https://boardgamegeek.com/boardgame/127023,127023,Kemet,2,5,120,90,120,3.0028,2012,13,7.66842,7.43065,18585,20270,"Jacques Bariot, Guillaume Montiage"
138,https://boardgamegeek.com/boardgame/2511,2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,60,120,2.6761,1982,13,7.65498,7.42908,20399,39289,"Raymond Edwards, Suzanne Goldberg, Gary Grady"
139,https://boardgamegeek.com/boardgame/161970,161970,Alchemists,2,4,120,120,120,3.9246,2014,13,7.65241,7.42684,21762,29029,Matúš Kotry
140,https://boardgamegeek.com/boardgame/233398,233398,Endeavor: Age of Sail,2,5,90,60,90,2.8455,2018,13,7.91415,7.42354,8726,11581,"Carl de Visser, Jarratt Gray"
141,https://boardgamegeek.com/boardgame/271324,271324,It's a Wonderful World,1,5,60,30,60,2.3107,2019,14,7.71045,7.4245,15789,21362,Frédéric Guérard
142,https://boardgamegeek.com/boardgame/147020,147020,Star Realms,2,2,20,20,20,1.9309,2014,12,7.56529,7.42405,42681,62751,"Robert Dougherty, Darwin Kastle"
143,https://boardgamegeek.com/boardgame/308765,308765,Praga Caput Regni,1,4,150,45,150,3.752,2020,12,7.95608,7.41979,7462,12125,Vladimír Suchý
144,https://boardgamegeek.com/boardgame/220877,220877,Rajas of the Ganges,2,4,75,45,75,2.8975,2017,12,7.72666,7.41788,12930,17038,"Inka Brand, Markus Brand"
145,https://boardgamegeek.com/boardgame/254640,254640,Just One,3,7,60,20,60,1.0448,2018,8,7.59591,7.41687,23239,38101,"Ludovic Roudy, Bruno Sautter"
146,https://boardgamegeek.com/boardgame/146652,146652,Legendary Encounters: An Alien Deck Building Game,1,5,60,30,60,2.7049,2014,17,7.76219,7.41546,12848,17950,"Ben Cichoski, Daniel Mandel"
147,https://boardgamegeek.com/boardgame/34635,34635,Stone Age,2,4,90,60,90,2.4628,2008,10,7.5334,7.41467,50855,54732,Bernd Brunnhofer
148,https://boardgamegeek.com/boardgame/14996,14996,Ticket to Ride: Europe,2,5,60,30,60,1.9221,2005,8,7.5306,7.40972,71198,107466,Alan R. Moon
149,https://boardgamegeek.com/boardgame/328871,328871,Terraforming Mars: Ares Expedition,1,4,60,45,60,2.9152,2021,14,7.71791,7.40571,13917,28594,"Sydney Engelstein, Jacob Fryxelius, Nick Little (I)"
150,https://boardgamegeek.com/boardgame/103885,103885,Star Wars: X-Wing Miniatures Game,2,2,45,30,45,2.4939,2012,14,7.64356,7.40436,24597,40146,Jay Little
151,https://boardgamegeek.com/boardgame/77423,77423,The Lord of the Rings: The Card Game,1,2,60,30,60,3.202,2011,13,7.66091,7.40217,23512,36369,Nate French
152,https://boardgamegeek.com/boardgame/233867,233867,Welcome To...,1,100,25,25,25,1.8311,2018,10,7.5559,7.39949,27938,44131,Benoit Turpin
153,https://boardgamegeek.com/boardgame/148949,148949,Istanbul,2,5,60,40,60,2.5846,2014,10,7.54951,7.39864,29989,35012,Rüdiger Dorn
154,https://boardgamegeek.com/boardgame/296151,296151,Viscounts of the West Kingdom,1,4,90,60,90,3.4508,2020,12,7.88013,7.39861,8452,16937,"S J Macdonald, Shem Phillips"
155,https://boardgamegeek.com/boardgame/283948,283948,Marco Polo II: In the Service of the Khan,2,4,120,60,120,3.3793,2019,12,7.99035,7.39781,6494,8448,"Simone Luciani, Daniele Tascini"
156,https://boardgamegeek.com/boardgame/82222,82222,Xia: Legends of a Drift System,3,5,180,60,180,3.1906,2014,12,7.87226,7.39557,9417,14442,Cody Miller
157,https://boardgamegeek.com/boardgame/244522,244522,That's Pretty Clever!,1,4,30,30,30,1.8806,2018,8,7.58455,7.39146,22011,34835,Wolfgang Warsch
158,https://boardgamegeek.com/boardgame/265188,265188,Glen More II: Chronicles,2,4,120,90,120,3.0157,2019,12,7.92695,7.39098,7224,12280,Matthias Cramer
159,https://boardgamegeek.com/boardgame/463,463,Magic: The Gathering,2,2,20,20,20,3.2469,1993,13,7.56196,7.39023,37811,41331,Richard Garfield
160,https://boardgamegeek.com/boardgame/304783,304783,Hadrian's Wall,1,6,60,30,60,3.1028,2021,12,8.06494,7.38714,5761,11163,Bobby Hill
161,https://boardgamegeek.com/boardgame/189932,189932,Tyrants of the Underdark,2,4,60,60,60,2.5368,2016,14,7.9109,7.3842,7922,9859,"Peter Lee, Rodney Thompson, Andrew Veen"
162,https://boardgamegeek.com/boardgame/268864,268864,Undaunted: Normandy,2,2,60,45,60,2.254,2019,14,7.82138,7.38259,9790,19460,"Trevor Benjamin, David Thompson (I)"
163,https://boardgamegeek.com/boardgame/43111,43111,Chaos in the Old World,3,4,120,60,120,3.2004,2009,13,7.66502,7.37852,15335,15707,Eric M. Lang
